Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
      Veterinary & Other Services For Pets,3.1,3.1,1.7,1.7,1.7,0.5,0.5,0.5,2.6,2.6,2.6,2.6,2.6
      Recreational & Sporting Services,3.1,2.3,3.3,2.3,2.3,1.2,1.4,1.3,-0.5,-0.4,-0.7,-0.9,-0.1
    Cultural Services,1.8,1.1,0.1,-0.3,0,0.5,0.4,2.4,1.3,2.1,0.3,1.1,1.3
"      Services Provided By Cinemas, Theatres & Concert Venues",3.1,0.3,0.2,0.7,2.2,3,3.2,2.9,3.8,5.5,2.3,2.4,3.3
      Services Provided By Museums & Cultural Sites,8,8.8,6.8,2.3,1.7,3.4,3.1,22,3.6,7.6,-2,-2.8,-2.7
      Photographic Services,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,0,0
      Cultural Services Nec,1.1,1.1,-0.4,-0.6,-0.6,-0.6,-0.8,-0.4,0.7,0.5,0.8,1.7,1.5
"    Newspapers, Books & Stationery",0.3,0.9,-0.2,0.1,-0.7,0.3,0.3,0.6,0.7,0.7,0.3,0.4,0.1
"      Books, Excl School Textbooks & Study Guides",-0.6,1.8,-2.4,0.1,-3,-0.5,0.4,0.7,0.9,1.5,-0.2,0.3,-1.2
      Newspapers & Others,-0.3,-0.3,-0.1,-0.1,-0.1,-0.1,-0.6,-0.1,-0.1,-0.1,-0.1,0,0
      Stationery & Drawing Materials,1.1,1.2,1,0.3,0.3,0.9,0.9,0.9,1.1,0.7,0.8,0.8,0.8
    Holiday Expenses,0.6,0.1,1.4,2.3,-0.3,-0.4,0,0.8,-4.6,-5.9,-2.3,-4.9,-4.1
      Hotels,-1.8,0.9,4.4,3.8,3.5,-1.5,1.5,3.2,-2.1,-2.2,1.7,-4.3,-1.3
      Chalets,-3.4,6.6,5.8,2.1,1.6,-0.6,1.3,10.3,1.7,2.5,8.7,3.3,3.9
      Package Holidays,1.8,-0.4,-0.2,1.6,-2.1,0.2,-0.8,-0.5,-5.8,-7.8,-4.4,-5.2,-5.4
  Education,-0.8,-0.8,-0.8,-0.7,-0.6,1.2,1.1,1.1,1,0.8,0.7,0.5,0.5
